Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Page
3,,9,7,,14,,3,6,6,,7,,99
104,320,215,95,,160,109,196,268,108,175,336,,99
AVERAGE 62,91,89,53,76,52,56,98,160,63,58,175,,99
3,3,100 4,2,4,4,4,,5,,2,,,99
196,68,100,,127,110,,,,4,,3,,99
AVERAGE,,,,,,,175,109,123,79,89,,99
92 92,45,62,61,86,64,22,73,73,67,78,76,,99
35,3,16,42,,8,6,6,35,33,78,63,,99
2,2,132 2,2,2,5,2,2,2,2,1,2,,99
AVERAGE 42,,109,68,62,20,63,45,42,,82,,,99
36,74,,,,,,,,,,138,,99
,,87,,,2,,45,23,332,82,4,,99
3,3,2,2,2,6,2,,2,2,2,3,,99
AVERAGE 216,207,1232,98,84,28,T6,1032,89,188,134,204,,99
179,149,,70,,,60,95,74,126,130,98,,99
57,,,,,,,,,,,,,99
2,2,2,3,,,,,,,,,,99
AYERAGE 81,,50,69,46,75,,123,60,33,73,56,,99
55,,48,37,48,55,52,86,54,33,67,41,,99
30,36,47,50,48,39,46,50,,33,61,26,,99
55,,,,,,,,,,,,,99
1,4,4,8,3,7,2,3,3,3,1,3,,99
AVERAGE 74,73,33,38,41,82,6,15,,,,,,99
74,,18,,,,,,3,17,62,24,,99
,,,,5,6,6,2,2,1,62,1,,99
54 37,,,,,,,,,,,,,99
2,3,6,5,8,4,4,2,1,2,2,,,99
AVERAGE 101,211,135,102,102,95,120,1684,,167,164,131,,99
81,196,33,4,,,,164,148,162,63,131,,99
55 57,,,,,,,,,,,,,99
4,3,3,,,,,,,,,,,99
,,,1,3,2,5,2,3,3,5,1,,99
216,60,62,106,74,74,78,,73,1232,167,205,,99
AVERAGE 138,54,47,108,63,71,48,56,55,92,105,205,,99
23,44,35,108,,69,24,56,46,59,,205,,99
54 56,,,,,,,,,,,,,99
5,7,7,7,6,9,8,3,556 4,6,,,,99
AVERAGE 217,121,116,88,227,,,,,,,,,99
,,,,,145,161,167,244,331,,,,99
,1,13,,124,3,20,78,22,141,,,,99
54,,,,,,,,,,,,,99
3,5,,2,2,2,3,2,3,4,5,4,,99
AVERAGE 74,82,,6,4,4,2,,3,4,17,32,,99
,4,,5,,4,2,2,3,2,2,2,,99
54 56,,,,,,,,,,,,,99
4,6,,,,,,,,,,,,99
,,4,2,,5,5,5,6,4,7,6,,99
AVERAGE 232,111,,11,107,140,130,,229,74,,105,,99
63,44,46,11,53,66,67,69,75,22,38,31,,99
3,4,5,11,,7,2,2,3,2,3,1,,99
55 56,,,,,,,,,,,,,99
3,1,2,1,1,2,4,4,1,3,7,1,,99
77,45,63,75,101,110,93,121,85,115,151,64,,99
AVERAGE 54,45,54,75,101,99,72,73,85,103,86,,,99
15,45,46,75,101,,53,43,,,,64,,99
,,,,,,,,8s,86,49,64,,99
57,,,,,,,,,,,,,99
2,2,2,3,2,1,3,3,2,1,3,2,,99
AVERAGE 119,64,69,48,,46,37,34,37,30,36,37,,99
54,56,49,39,45,46,25,29,33,30,30,36,,99
54,,,,,,,,,,,,,99
,2,9,4,3,,2,,5,,,,,99
AVERAGE 202,,,,11,,103,184,176,388,295,,,99
,4,43,16,8,,96,108,133,142,144,,,99
202,4,7,2,5,,89,60,69,2,1,,,99
57,,,,,,,,,,,,,99
2,2,1,2,3,,2,2,3,1,,,,99
AVERAGE 40,20,71,29,19,,22,2,38,34,,,,99
18,15,71,,1,,16,2,2,34,,,,99
