Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Page
,52,,,,,,,,,,,,36
,,,,,,,164,,120 134 149,171,280,322,36
,,1156,,,,385,127,,95 110 124,138,159,205,36
,,1157,,25,26,264,105 46,Si,71 78 96 101,138,159,,36
,,,55 57,92,17,424,132,70,83 96 110 127,146,176,243,36
,BOISE,,57,34,25,237,88 40,46,51 82 88,112,120,159,36
,,1157,57,25,,42,21 8,,16 18 22 24,27,29,38,36
,,,55,22,69,315,159 84,104,114 120 145 159,183,227,2380,36
,,2156,56,29,29,467,125 46,55,68 76 86 34,104,171,280,36
,,2157,57,24,39,262,81 42,48,51 65 71,78,90,159,36
,,,55 57,75,29,467,121 47,56,69 77 90 106,138,173,255,36
,,,57,27,8,96,42 17,25,27 31 36 40,48,56,84,36
,,,,,35,,117,38,104 129 129,134,138,138,36
,,1455,55,,,168,,,,,,,36
,,,,23,40,153,91 44,48,75 86 104,126,138,151,36
,,,55 57,30,35,168,97 44,48,71 82 97 123,130,138,151,36
,,,55,,213,532,321 227,227,243 243 280 280,371,371,,36
,,,57,,57,312,108,55,68 78 78,90,120,120,36
,,,55 57,12,57,532,197,59,78 90 120 227,243,322,371,36
,,,55,,35,532,202 38,104,129 134 138 183,227,280,371,36
,,,57,30,40,312,95 45,50,73 81 90,120,138,,36
,,,55 57,42,35,532,126 45,51,73 84 104 125,135,155,243,36
,PHOENIX ARIZ,1157,57,26,37,587,164 51,68,78 104 159,183,291,312,36
,ANGELES,,,,,,,,,,,,36
,Los,3157,57,24,36,561,261 44,115,138 171 219 235,399,448,,36
,,,55,18,8,89,32 17,23,24 26 29 35,38,40,44,36
,,,56,25,9,108,34,,16 17 25 33,44,51,78,36
,,,55 56,43,,108,33,16,24 28 34,39,44,59,36
,,,,,8,,,,,,,,36
,,2157,57,31,15,335,77 25,,36 49 61 68,84,112,is9,36
,,,55 57,,8,335,15,18,25 31 36 44,35,71,109,36
,,,55,14,83,316,209 90,159,171 197 211 227,262,280,308,36
,,,56,46,9,771,226 86,112,142 159 192 227,249,280,371,36
,,,57,24,65,368,171 78,104,110 120 138 159,243,258,,36
,,,57,84,9,771,207 84,110,131 156 183 221,249,271,316,36
2,,,55,15,27,173,83 48,,62 65 73 78,90,104,159,36
,SAN,,55,24,17,298,106 22,38,73 84 90 104,116,138,243,36
,,,56,43,31,203,89 34,48,56 63 73 90,104,120,183,36
,,1157,S7,25,17,210,68 27,31,38 55 62 65,73,90,138,36
2,,,57,92,17,298,87 30,37,54 63 72 as,102,125,183,36
,,,55,62,50,631,165 80,90,104 1132 120 141,159,211,347,36
,,14156,56,41,28,536,126 59,80,68 98 116 129,142,159,183,36
,,,,,,,,,,,,255,36
,,,56,103,26,631,150 71,86,97 108 119 135,152,175,,36
co,,,,,,,,,,,,,36
,,,57,26,23,464,106 31,33,68 84,120,159,222,36
,,,,26,42,607,203 51,s9,94 101 138 252,271,308,347,36
,,1157,57,23,32,790,195,84,104 120 169 178,192,211,459,36
,,1156,56,23,15,107,54 21,35,38 49 54 57,62,68,97,36
oe,,,57,28,15,67,33 17,22,23 25 27 31,44,48,59,36
an,,,56 57,,15,107,43 20,23,25 29 38 48,54,61,68,36
,,2156,56,11,8,44,27,17,18 19 27 29,33,40,42,36
,,,56,34,8,107,45 17,22,27 36 42 49,56,62,90,36
,,,57,28,15,67,33 17,22,23 25 27 31,44,48,,36
,,,56 57,62,8,107,40 17,21,25 28 34 43,49,58,67,36
,LAS,,,26,25,167,76 38,44,53 68 78,90,112,129,36
,,,55,53,34,253,94 45,54,65 75 82 86,97,138,165,36
,,,56,30,25,400,122 41,51,64 73 90 101,115,138,347,36
ts,,,57,26,8,438,89 29,34,38 44 70 76,90,112,197,36
,,,57,109,8,438,100 39,47,59 71 79 87,102,134,183,36
,,,55,,46,95,66 48,51,59 62 65 65,68,78,90,36
,,2156,56,13,42,341,105 41,,55 84 90,97,104,243,36
,,,55 56,22,42,341,89 44,49,56 62 68 78,,99,120,36
,,,55,,33,155,92 33,33,44 44,145,152,152,36
,,,55,68,33,253,90 45,,59 69 79 85,95,138,156,36
,,,56,43,25,400,117 41,,59 72 86 97,108,129,338,36
,,,57,26,8,438,89 29,34,38 44 70 76,90,112,197,36
,,,55 57,137,8,438,98 40,47,57 69 77 86,100,134,178,36
am,,,,,,,,,,,,,36
,,,,25,16,232,99 33,44,64 68 90 104,132,149,183,36
oa,,,,,,,,,,,,,36
