Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Page
,104 104,,,,,,,,88
,,57,,,,,,,88
,,,1,2,1,2 3 2 2 2 2 4,2 2,,88
,AVERAGE,,12,22,23,13 24 22 45 35 30 24,16 13,,88
,,,12,17,23,13 14 17 36 32 19 21,13 13,,88
,ct NCUNNATI,54 55,,,,,,,88
,AVERAGE,,15,,15,5 14 20 9 9 42 23,14 40,,88
,,57,,,,,,,88
,,,2,2,2,3 2 1 2 2 2 2,3 2,,88
,AVERAGE,,11,25,18,20 22 13 28 28 22 19,23 12,,88
,,57,,,,,,,88
,,,,33,8,9 21 9 43 47 32 28,36 7,,88
,AVERAGE,,12,,,,22 7,,88
,,57,,,,,,,88
,AVERAGE,,22,10,18,35 13 12 43 19 16 18,,,88
,,57,,,,,2 3,,88
,AVERAGE,,33,20,18,17 16 16 26 2i 7 14,21 10,,88
,wi CHI TA KAN SAS,57,,,,,,,88
,AVE,,21,16,11,15 9 9 22 17 20,12 21,,88
,RAGE,,,,,9 8 20 15 20 14,7 20,,88
,AVERAGE,,30,17,6,12 4 10 10 19,3 6,,88
,KA NSA MO,55 56,,2,,3 2 2 4 1 1,1 1,,88
,AVE RAGE,,12,9,19,8 13 9 5 14 7 2,11 43,,88
,,55 56,,,,,,,88
,AVERAGE,,8,21,,12 10 9 10 11 9 6,5 27,,88
,,,8,18,,11 10 8 6 8 9 5,4 16,,88
,SMA,57,,,,,,,88
,AVERAGE,,5,14,7,10 13 10 12 9 10 11,13 13,,88
oe,,,,,,,,,88
,LA,54 57,,,,,,,88
,AVERAGE,,22,21,9,11 14 9 10 8 2 11,14 30,,88
,,,,,,,5 15,,88
,,,15,19,1,7 7 7 3 1,,,88
,TULSA OKLA,57,,,,,,,88
,AVERAGE,,23,,22,18 13 14 19 8 21,10 16,,88
,,54 55,,,,,,,88
Nw,,,,,,19 11 5 10 10 6 14,10 27,,88
,AVERAGE,,20,16,10,15 8 3 10 7 4 8,6,,88
,,54 37,,,,,,,88
ee,AVERAGE,,37,12,7,27 15 18 12 19 26 36,11 31,,88
co,,,,,,,,,88
,,54 55,,,,,2 3,,88
,AVERAGE,,14,,4,20 19 17 11 14 8,10,,88
ont,,,,,,,,,88
oa,,,,,,,,,88
