Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Page
,6,7,2,,6,15,2,,,,,,67
AVERAGE,6,7,2,7,3,5,1,43,8,,,,67
,6,7,2,2,1,1,1,18,,,,,67
VA 54,,,,,,,,,,,,,67
46,60,10,20,35,20,9,4,30,10,16,34,,67
AVERAGE 18,21,9,11,12,7,5,2,9,8,11,22,,67
,3,,3,,1,2,1,3,7,6,11,,67
4,,9,,1,,,,,,,,,67
53 56,,,,,,,,,,,,,67
7,7,10,10,5,2,7,7,5,6,3,6,,67
AVERAGE 1,4,13,10,131,il,5,4,5,12,29,10,,67
53 55,,,,,,,,,,,,,67
,,,9,5,5,8,6,3,4,2,4,,67
AVERAGE 3,4,8,13,120,5,3,5,17,14,17,,,67
,,1,2,4,3,1,1,6,1,,,,67
53 55,,,,,,,,,,,,,67
AVERAGE 2,,2,3,5,5,3,2,2,6,4,4,,67
,,1,1,,1,2,,2,2,1,,,67
TONKA 53 54,,,,,,,,,,,,,67
AVERAGE 1,,3,1,2,3,2,,2,5,10,,,67
1,,,,1,2,,,,1,2,,,67
54 55,,,,,,,,,,,,,67
,,,,,3,,,,,1,4,,67
AVERAGE 5,3,10,12,34,33,,,,,18,,,67
3,2,10,12,34,9,,,,,18,5,,67
54 56,,,,,,,,,,,,,67
AVERAGE 12,14,118,14,38,21,72,6,14,20,39,28,,67
53 55,,,,,,,,,,,,,67
AVERAGE 4,,10648,29,17,16,9,5,15,31,67,18,,67
1,1,6,27,17,7,3,2,5,5,20,,,67
54 55,,,,,,,,,,,,,67
,1,1,,2,,3,,1,6,5,,,67
AVERAGE,4,,,1,,1,,2,12,50,,,67
